DATE(PRE MONSOON),DATE(POST MONSSON),YEAR,PRE MONSOON(NARASAMPATHY),POST MONSOON(N),PRE MONSOON(selvampathy) ,POST MONSOON s,PRE MONSOON(periyakulam),POST MONSOON p,PRE MONSOON(selva chinthamani),POST MONSOON sc,PRE MONSOON(valankulam),POST MONSOON vk,PRE MONSOON(singanallur),POST MONSOON sing,PRE MONSOON(kumaraswamy),POST MONSOON kum,PRE MONSOON(kurichi,POST MONSOONkur,Year,January,February,March ,April,May ,Jun,July,August,September,October,November,December,Total
03-05-2000,26-10-2000,2000,0,0.321282,0,0,0.454735,0.598696,0,0.013003,0,0.02317,0.657323,0.810701,0,0.038391,0.223326,0.612074,2000,2,36.9,0,19.9,13.9,27.4,15.7,163.6,210.4,36.8,75.3,22.6,624.5
21-05-2003,06-12-2003,2003,0.219745,0.101309,0,0,0.34723,0.435734,0.025508,0.048537,0,0,0.752241,0.825725,0,0,0,0.083207,2003,0,25,119.1,63.7,19.5,34,43.9,24.6,13.6,210.1,99.2,6,658.7
08-04-2004,08-12-2004,2004,0.205698,0.176096,0,0.081163,0.289655,0.880956,0.039614,0.041368,0.004066,0.10827,0.770921,0.892832,0,0.131202,0,0.893145,2004,10,0,0.5,107.2,167.6,51.8,46.4,27,96.9,288.8,155.8,0.4,952.4
02-06-2005,22-09-2005,2005,0.007326,0.436974,0,0.041136,0.398364,1.00432,0.029607,0.039357,0.062418,0.084356,0.716764,0.850806,0.019589,0.190249,0.054824,1.17347,2005,9.8,0.5,46.2,77.2,104.4,11.4,40.1,84.5,25.4,333.1,196.6,60.1,989.3
05-04-2007,15-11-2007,2007,0.090552,0.416161,0.028676,0.085022,0.744796,1.21461,0,0.04143,0.096514,0.187572,0.406484,0.779781,0.095004,0.182891,0.96266,1.22154,2007,10,21.8,0,57.7,80.8,60.6,82,84.3,14.4,278.8,56.5,114.9,861.8
12-07-2008,30-09-2008,2008,0.009801,0.287325,0,0.13832,0.751378,1.02452,0.028768,0.037933,0.161343,0.134547,0.375567,0.797543,0.058324,0.172115,0.906349,0.961075,2008,0.2,49.2,77.1,51.6,42,21.4,27.8,66.3,26.3,312.6,43.6,11.1,729.2
28-05-2009,19-10-2009,2009,0,0.388686,0,0.043629,0.638464,1.02541,0,0.043148,0.045727,0.042191,0.433459,0.887553,0.102713,0.19364,0.602783,0.8677,2009,0,0,101.8,0.8,104.6,11.2,89.2,39,108.6,115.8,250.6,2.8,824.4
02-05-2011,19-10-2011,2011,0.016953,0.138797,0.022844,0.052451,0.691191,0.853679,0,0,0,0.104937,0.372917,0.681105,0.038903,0.147502,0.740373,0.574932,2011,0.4,125.6,23.6,168.8,24.8,93,32.3,7.1,67.9,305.3,243.1,11.6,1103.5
04-05-2012,12-11-2012,2012,0.017973,0.025495,0.026741,0.100817,0.761042,0.590184,0,0.046042,0.073632,0.229559,0.476278,0.834333,0.139019,0.215173,0.465157,0.031483,2012,1,0,1.2,78.4,25.6,11.1,27.5,28.5,6.1,165.2,22.4,6.9,373.9
15-05-2014,26-11-2014,2014,0.008531,0.11753,0.098128,0.101766,0.729668,1.12271,0.064836,0.12002,0,0.024904,0.533992,0.672649,0.111953,0.166214,0,1.16709,2014,0,0.2,0,17.4,125.8,10.6,41.2,75.8,90.4,352.1,3.4,16.3,733.2
03-04-2015,10-08-2015,2015,0.014443,0.115534,0.062577,0.149958,0.823476,1.21003,0.05474,0.035764,0.075823,0.155199,0.71929,0.889038,0.114448,0.243627,1.01098,1.06615,2015,0,0,3.7,62.7,195.8,46.9,5.1,28.1,66.2,65.2,191.3,24.1,689.1
18-05-2016,12-09-2016,2016,0.013405,0.007188,0.121759,0.118795,0.999204,0.790054,0.03267,0.057823,0.221898,0.063371,0.752014,0.688796,0.191454,0.210126,0.437266,0.074567,2016,0.2,0,0,4.2,64.4,34.2,23.9,4,6.3,70.7,18.9,45,271.8
29-05-2018,21-11-2018,2018,0.034947,0.221233,0.170602,0.172335,1.13528,1.07399,0.10638,0.106663,0.348604,0.29979,0.835417,0.871933,0.28194,0.25842,0.147269,1.26142,2018,2.2,0,18.2,45.4,259,54,73.4,60.4,115.7,151.6,57.1,8,845
28-05-2019,23-10-2019,2019,0.012151,0.252128,0.171854,0.05166,0.971467,1.24971,0.082288,0.035706,0.301222,0.332256,0.857158,0.931151,0.288284,0.252914,0.937768,1.26823,2019,0,0,0,23.6,77.8,21,8.5,221.3,57.3,246.9,167.1,36,859.5
18-05-2020,25-10-2020,2020,0.113467,0.27091,0.180289,0.169083,1.06557,1.22074,0.029287,0.053071,0.345276,0.353641,0.847531,0.890338,0.235405,0.215148,1.223557,1.28267,2020,0.5,0,46,57,67.5,22.5,83.5,49.5,140.5,36,103,32,638
19-04-2021,10-09-2021,2021,0.237972,0.314589,0.189216,0.184261,1.06125,1.01317,0.091258,0.093056,0.370552,0.330132,0.777828,0.818363,0.285158,0.272448,1.32733,1.17869,2021,141.5,2.9,0,34,70.1,15,30.5,38.5,33.5,190.6,271.9,54.5,883
